desertion_no,notice_no,process_state,happen_dt,happen_place,up_kind_nm,kind_nm,kind_full_nm,color_cd,age,weight,sex_cd,neuter_yn,special_mark,care_nm,care_tel,care_addr,org_nm,care_reg_no,notice_sdt,notice_edt,upd_tm,photo_urls,photo_local_paths
443447202600552,충북-음성-2026-00355,보호중,20260912,금왕읍 청평길 139-15,개,믹스견,[개] 믹스견,흰색,2024(년생),12(Kg),M,N,성격이 온순한 편입니다,음성군 동물보호센터,043-877-3081,충청북도 음성군 삼성면 대금로 715-5  ,충청북도 음성군,343447202600001,20260912,20260922,2026-09-12 13:29:07.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121309486.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121309729.jpg,images/443447202600552_0.jpg|images/443447202600552_1.jpg
441403202600236,경기-의왕-2026-00037,보호중,20260912,의왕시청에서 인수,개,웰시 코기 펨브로크,[개] 웰시 코기 펨브로크,기타(갈백),2022(년생),17(Kg),M,Y,"순함,덩치가 큰 편임,칩있음",한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) ,경기도 의왕시,341403202100001,20260912,20260922,2026-09-12 15:43:38.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121509409.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121509802[1].jpg,images/441403202600236_0.jpg|images/441403202600236_1.jpg
413581202600515,광주-서구-2026-00059,보호중,20260912,서구 농성파출소,개,믹스견,[개] 믹스견,갈색,2025(년생),3.4(Kg),F,U,26-0522 바리 내장칩없음 순함 목줄착용,광주동물보호센터,062-613-6770,전남광주통합특별시 북구 본촌마을길 25-1 (본촌동) 광주동물보호센터,전남광주통합특별시 서구,329360201300001,20260912,20260922,2026-09-12 16:03:39.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121609881.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121609929.jpg,images/413581202600515_0.jpg|images/413581202600515_1.jpg
413579202601416,광주-나주-2026-00359,보호중,20260912,나주시산포면덕례리하천 배수펌프장앞,개,푸들,[개] 푸들,갈색,2016(년생),4(Kg),F,N,덕례하천배수펌프장 주변에서구조 ,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,전남광주통합특별시 나주시,346483202100001,20260912,20260922,2026-09-12 16:22:40.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121609107.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121609419.jpg,images/413579202601416_0.jpg|images/413579202601416_1.jpg
442420202600476,강원-강릉-2026-00276,보호중,20260911,남대천 단오문화공원부근,개,포메라니안,[개] 포메라니안,흰색,2020(년생),3(Kg),M,N,방울달린 목줄 착,강릉시 동물사랑센터,033-641-7515,강원도 강릉시 성산면 내맬길 172  ,강원특별자치도 강릉시,342420201500001,20260913,20260923,2026-09-13 11:49:27.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131109751.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131109251.jpg,images/442420202600476_0.jpg|images/442420202600476_1.jpg
450650202602209,제주-제주-2026-02137,보호중,20260911,서귀포시 성산읍 환해장성로941,개,믹스견,[개] 믹스견,갈색,2023(년생),13(Kg),F,U,개체관리번호 1721 - 빨간목줄,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,350650201200001,20260912,20260922,2026-09-12 10:15:24.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121009650.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121009678.jpg,images/450650202602209_0.jpg|images/450650202602209_1.jpg
450650202602208,제주-제주-2026-02136,보호중,20260911,제주시 오등동 고다시길103-1 다원유통,개,믹스견,[개] 믹스견,회색(회청색)바탕에 검정얼룩무늬,2025(년생),12.2(Kg),F,U,개체관리번호 1720 - 좌전지 외상,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,350650201200001,20260912,20260922,2026-09-12 10:15:24.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/20260912100945.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/20260912100959.jpg,images/450650202602208_0.jpg|images/450650202602208_1.jpg
450650202602207,제주-제주-2026-02135,보호중,20260911,제주시 오등동 고다시길103-1 다원유통,개,믹스견,[개] 믹스견,검정&흰색,2026(년생),11.1(Kg),M,N,개체관리번호 1719 - 6개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,350650201200001,20260912,20260922,2026-09-12 10:15:23.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121009592.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121009613.jpg,images/450650202602207_0.jpg|images/450650202602207_1.jpg
450650202602206,제주-제주-2026-02134,보호중,20260911,제주시 한경면 판조로380,개,믹스견,[개] 믹스견,갈색&검정,2026(60일미만)(년생),3.9(Kg),M,N,개체관리번호 1718 - 2개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,350650201200001,20260912,20260922,2026-09-12 10:15:23.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/20260912100991.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121009128.jpg,images/450650202602206_0.jpg|images/450650202602206_1.jpg
450650202602205,제주-제주-2026-02133,보호중,20260911,제주시 한경면 판조로380,개,믹스견,[개] 믹스견,검정&흰색,2026(60일미만)(년생),3.9(Kg),F,N,개체관리번호 1717 - 2개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,350650201200001,20260912,20260922,2026-09-12 10:15:23.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121009212.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121009258.jpg,images/450650202602205_0.jpg|images/450650202602205_1.jpg
443439202600513,충북-충주-2026-00197,보호중,20260911,충고 인근,개,믹스견,[개] 믹스견,흰색,2018(년생),4.5(Kg),F,U,"도로배회,푸들믹스,겁있고 경계,사상충음성",충주시동물보호센터,043-851-3168,충청북도 충주시 중앙탑면 일곱실길 70 (중앙탑면) ,충청북도 충주시,343439201700001,20260912,20260921,2026-09-12 23:49:31.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609122309429.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609122309463.jpg,images/443439202600513_0.jpg|images/443439202600513_1.jpg
441560202601004,경기-포천-2026-00686,보호중,20260911,경기 포천시 소흘읍 죽엽산로 502-61 인근,개,믹스견,[개] 믹스견,갈색&검정,2022(년생),5.7(Kg),F,U,겁. 경계. 눈곱. 치석. 꼬리 단미 안됨. 털 상태 때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37  ,경기도 포천시,341560201000002,20260912,20260922,2026-09-12 17:01:38.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121609715.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121609726[1].jpg,images/441560202601004_0.jpg|images/441560202601004_1.jpg
441560202601003,경기-포천-2026-00685,보호중,20260911,경기 포천시 영북면 산정호수로 324 인근,개,골든 리트리버,[개] 골든 리트리버,갈색,2024(년생),22.3(Kg),M,N,활발. 사람 좋아함. 호기심 많음.침 많음. 앞다리 사이/왼쪽 가슴에 혹. 눈곱. ,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37  ,경기도 포천시,341560201000002,20260912,20260922,2026-09-12 17:01:38.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/20260912160984[1].jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121609100.jpg,images/441560202601003_0.jpg|images/441560202601003_1.jpg
441406202601027,경기-파주-2026-00631,보호중,20260911,경기 파주시 문산읍 사목리654-2 인근,개,믹스견,[개] 믹스견,흰색,2026(60일미만)(년생),1.6(Kg),F,U,포유기. 겁 많음. 경계. 엄살 심함. 앞니/송곳니 자라기 시작. 눈물자국. 꼬리 단미 안됨. 털 때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37  ,경기도 파주시,341406202200002,20260912,20260922,2026-09-12 17:26:47.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121709699[1].jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121709725.jpg,images/441406202601027_0.jpg|images/441406202601027_1.jpg
441398202600370,경기-구리-2026-00149,보호중,20260911,경기 구리시 토평동 972-6 인근,개,믹스견,[개] 믹스견,갈색&검정,2026(60일미만)(년생),1.9(Kg),M,N,온순. 얌전. 겁 조금. 사람 잘 따름. 눈곱. 귀여움. 꼬리 단미 안됨. 털 상태 양호.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37  ,경기도 구리시,341398200900001,20260912,20260922,2026-09-12 16:42:36.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121609458.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121609483.jpg,images/441398202600370_0.jpg|images/441398202600370_1.jpg
441398202600369,경기-구리-2026-00148,보호중,20260911,경기 구리시 토평동 972-6 인근,개,믹스견,[개] 믹스견,갈색,2026(60일미만)(년생),1.7(Kg),F,U,온순. 얌전. 겁 조금. 사람 잘 따름. 눈곱. 꼬리 단미 안됨. 털 상태 양호.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37  ,경기도 구리시,341398200900001,20260912,20260922,2026-09-12 16:42:36.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121609851.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121609873.jpg,images/441398202600369_0.jpg|images/441398202600369_1.jpg
