split,filename,relpath,dog_id,camera,sequence,frame,width,height,aspect_ratio,filesize_bytes
train,102_c5s1_5.jpg,train/102_c5s1_5.jpg,102,5,1,5,87,172,0.5058,7139
train,102_c5s3_3.jpg,train/102_c5s3_3.jpg,102,5,3,3,90,172,0.5233,7507
train,103_c3s2_2.jpg,train/103_c3s2_2.jpg,103,3,2,2,174,316,0.5506,17013
train,103_c3s4_0.jpg,train/103_c3s4_0.jpg,103,3,4,0,292,237,1.2321,17755
train,103_c4s1_1.jpg,train/103_c4s1_1.jpg,103,4,1,1,217,275,0.7891,16199
train,103_c4s2_4.jpg,train/103_c4s2_4.jpg,103,4,2,4,267,286,0.9336,17638
train,103_c5s1_8.jpg,train/103_c5s1_8.jpg,103,5,1,8,214,330,0.6485,19175
train,103_c5s4_7.jpg,train/103_c5s4_7.jpg,103,5,4,7,250,194,1.2887,12796
train,103_c5s6_5.jpg,train/103_c5s6_5.jpg,103,5,6,5,213,290,0.7345,19403
train,103_c6s3_3.jpg,train/103_c6s3_3.jpg,103,6,3,3,207,369,0.561,20371
train,104_c1s5_8.jpg,train/104_c1s5_8.jpg,104,1,5,8,175,136,1.2868,15603
train,104_c2s1_3.jpg,train/104_c2s1_3.jpg,104,2,1,3,206,146,1.411,19502
train,104_c2s4_0.jpg,train/104_c2s4_0.jpg,104,2,4,0,73,93,0.7849,4913
train,104_c2s6_2.jpg,train/104_c2s6_2.jpg,104,2,6,2,86,155,0.5548,8923
train,104_c3s2_4.jpg,train/104_c3s2_4.jpg,104,3,2,4,147,149,0.9866,14636
train,104_c3s3_1.jpg,train/104_c3s3_1.jpg,104,3,3,1,185,144,1.2847,7714
train,104_c4s1_7.jpg,train/104_c4s1_7.jpg,104,4,1,7,231,192,1.2031,24394
train,104_c4s4_7.jpg,train/104_c4s4_7.jpg,104,4,4,7,70,102,0.6863,5472
train,104_c4s5_6.jpg,train/104_c4s5_6.jpg,104,4,5,6,69,102,0.6765,5567
train,104_c4s6_4.jpg,train/104_c4s6_4.jpg,104,4,6,4,54,96,0.5625,3889
train,104_c4s6_5.jpg,train/104_c4s6_5.jpg,104,4,6,5,70,141,0.4965,6598
train,104_c5s6_6.jpg,train/104_c5s6_6.jpg,104,5,6,6,291,227,1.2819,31172
train,108_c2s1_7.jpg,train/108_c2s1_7.jpg,108,2,1,7,114,244,0.4672,8588
train,108_c2s2_8.jpg,train/108_c2s2_8.jpg,108,2,2,8,120,233,0.515,7816
train,108_c3s3_3.jpg,train/108_c3s3_3.jpg,108,3,3,3,558,391,1.4271,42665
train,108_c3s5_2.jpg,train/108_c3s5_2.jpg,108,3,5,2,121,122,0.9918,5060
train,108_c4s5_9.jpg,train/108_c4s5_9.jpg,108,4,5,9,113,228,0.4956,5893
train,108_c5s5_1.jpg,train/108_c5s5_1.jpg,108,5,5,1,116,273,0.4249,7528
train,108_c5s6_4.jpg,train/108_c5s6_4.jpg,108,5,6,4,181,391,0.4629,18188
train,108_c6s5_0.jpg,train/108_c6s5_0.jpg,108,6,5,0,114,130,0.8769,5340
train,108_c6s5_6.jpg,train/108_c6s5_6.jpg,108,6,5,6,123,137,0.8978,5237
train,110_c1s2_4.jpg,train/110_c1s2_4.jpg,110,1,2,4,54,97,0.5567,3434
train,110_c1s5_9.jpg,train/110_c1s5_9.jpg,110,1,5,9,335,204,1.6422,25164
train,110_c2s1_1.jpg,train/110_c2s1_1.jpg,110,2,1,1,368,230,1.6,29570
train,110_c2s3_8.jpg,train/110_c2s3_8.jpg,110,2,3,8,159,161,0.9876,4149
train,110_c2s4_3.jpg,train/110_c2s4_3.jpg,110,2,4,3,140,140,1.0,8607
train,110_c3s4_4.jpg,train/110_c3s4_4.jpg,110,3,4,4,124,110,1.1273,3274
train,110_c4s6_0.jpg,train/110_c4s6_0.jpg,110,4,6,0,452,262,1.7252,18648
train,110_c5s2_2.jpg,train/110_c5s2_2.jpg,110,5,2,2,454,261,1.7395,17243
train,110_c5s2_5.jpg,train/110_c5s2_5.jpg,110,5,2,5,109,90,1.2111,2582
train,110_c6s2_0.jpg,train/110_c6s2_0.jpg,110,6,2,0,66,113,0.5841,4337
train,110_c6s2_6.jpg,train/110_c6s2_6.jpg,110,6,2,6,101,94,1.0745,2310
train,110_c6s2_7.jpg,train/110_c6s2_7.jpg,110,6,2,7,188,161,1.1677,6098
train,115_c1s2_3.jpg,train/115_c1s2_3.jpg,115,1,2,3,122,145,0.8414,3381
train,115_c1s4_4.jpg,train/115_c1s4_4.jpg,115,1,4,4,123,142,0.8662,3406
train,115_c1s4_7.jpg,train/115_c1s4_7.jpg,115,1,4,7,156,156,1.0,5276
train,115_c3s4_0.jpg,train/115_c3s4_0.jpg,115,3,4,0,202,161,1.2547,15193
train,115_c4s2_8.jpg,train/115_c4s2_8.jpg,115,4,2,8,216,161,1.3416,10204
train,115_c5s3_2.jpg,train/115_c5s3_2.jpg,115,5,3,2,106,133,0.797,3187
train,115_c5s3_5.jpg,train/115_c5s3_5.jpg,115,5,3,5,144,150,0.96,4500
train,115_c5s5_9.jpg,train/115_c5s5_9.jpg,115,5,5,9,138,187,0.738,11218
train,115_c6s4_1.jpg,train/115_c6s4_1.jpg,115,6,4,1,190,188,1.0106,15890
train,117_c1s6_4.jpg,train/117_c1s6_4.jpg,117,1,6,4,111,303,0.3663,6406
train,117_c2s2_6.jpg,train/117_c2s2_6.jpg,117,2,2,6,132,287,0.4599,15881
train,117_c2s5_1.jpg,train/117_c2s5_1.jpg,117,2,5,1,106,100,1.06,5171
train,117_c2s6_3.jpg,train/117_c2s6_3.jpg,117,2,6,3,97,113,0.8584,2407
train,117_c3s2_1.jpg,train/117_c3s2_1.jpg,117,3,2,1,393,239,1.6444,12565
train,117_c3s4_5.jpg,train/117_c3s4_5.jpg,117,3,4,5,240,253,0.9486,19320
train,117_c4s2_9.jpg,train/117_c4s2_9.jpg,117,4,2,9,87,135,0.6444,6624
train,117_c4s4_7.jpg,train/117_c4s4_7.jpg,117,4,4,7,200,183,1.0929,6429
train,117_c4s6_8.jpg,train/117_c4s6_8.jpg,117,4,6,8,143,184,0.7772,9662
train,117_c5s3_4.jpg,train/117_c5s3_4.jpg,117,5,3,4,113,110,1.0273,6837
train,117_c5s4_0.jpg,train/117_c5s4_0.jpg,117,5,4,0,309,298,1.0369,15256
train,117_c5s5_9.jpg,train/117_c5s5_9.jpg,117,5,5,9,127,189,0.672,10008
train,117_c6s1_2.jpg,train/117_c6s1_2.jpg,117,6,1,2,151,230,0.6565,7293
train,117_c6s2_8.jpg,train/117_c6s2_8.jpg,117,6,2,8,191,149,1.2819,12069
train,118_c1s4_7.jpg,train/118_c1s4_7.jpg,118,1,4,7,350,210,1.6667,13145
train,118_c1s6_0.jpg,train/118_c1s6_0.jpg,118,1,6,0,435,392,1.1097,19006
train,118_c1s6_4.jpg,train/118_c1s6_4.jpg,118,1,6,4,239,173,1.3815,13959
train,118_c2s1_5.jpg,train/118_c2s1_5.jpg,118,2,1,5,500,333,1.5015,21807
train,118_c2s2_6.jpg,train/118_c2s2_6.jpg,118,2,2,6,236,171,1.3801,14615
train,118_c2s3_6.jpg,train/118_c2s3_6.jpg,118,2,3,6,439,281,1.5623,19543
train,118_c2s5_1.jpg,train/118_c2s5_1.jpg,118,2,5,1,274,181,1.5138,17690
train,118_c2s6_3.jpg,train/118_c2s6_3.jpg,118,2,6,3,258,214,1.2056,14847
train,118_c3s4_5.jpg,train/118_c3s4_5.jpg,118,3,4,5,217,178,1.2191,13520
train,118_c4s3_2.jpg,train/118_c4s3_2.jpg,118,4,3,2,524,365,1.4356,22826
train,118_c4s3_3.jpg,train/118_c4s3_3.jpg,118,4,3,3,246,175,1.4057,14685
train,118_c5s3_4.jpg,train/118_c5s3_4.jpg,118,5,3,4,153,162,0.9444,5724
train,118_c6s1_2.jpg,train/118_c6s1_2.jpg,118,6,1,2,262,184,1.4239,17510
train,118_c6s2_8.jpg,train/118_c6s2_8.jpg,118,6,2,8,241,197,1.2234,8678
train,121_c2s1_2.jpg,train/121_c2s1_2.jpg,121,2,1,2,477,251,1.9004,15259
train,121_c2s4_4.jpg,train/121_c2s4_4.jpg,121,2,4,4,260,220,1.1818,10290
train,121_c3s3_1.jpg,train/121_c3s3_1.jpg,121,3,3,1,541,262,2.0649,18758
train,121_c6s5_0.jpg,train/121_c6s5_0.jpg,121,6,5,0,406,379,1.0712,17088
train,121_c6s5_5.jpg,train/121_c6s5_5.jpg,121,6,5,5,255,178,1.4326,8558
train,121_c6s5_6.jpg,train/121_c6s5_6.jpg,121,6,5,6,138,170,0.8118,4025
train,122_c2s2_0.jpg,train/122_c2s2_0.jpg,122,2,2,0,99,110,0.9,3719
train,122_c2s4_6.jpg,train/122_c2s4_6.jpg,122,2,4,6,103,107,0.9626,5108
train,122_c2s6_2.jpg,train/122_c2s6_2.jpg,122,2,6,2,182,155,1.1742,12052
train,122_c3s1_7.jpg,train/122_c3s1_7.jpg,122,3,1,7,109,107,1.0187,5464
train,122_c3s2_8.jpg,train/122_c3s2_8.jpg,122,3,2,8,107,107,1.0,5132
train,122_c5s4_9.jpg,train/122_c5s4_9.jpg,122,5,4,9,103,109,0.945,5088
train,122_c5s6_1.jpg,train/122_c5s6_1.jpg,122,5,6,1,156,167,0.9341,8066
train,122_c6s2_4.jpg,train/122_c6s2_4.jpg,122,6,2,4,171,198,0.8636,9405
train,122_c6s5_5.jpg,train/122_c6s5_5.jpg,122,6,5,5,157,219,0.7169,14387
train,123_c1s3_0.jpg,train/123_c1s3_0.jpg,123,1,3,0,212,154,1.3766,9285
train,123_c1s6_9.jpg,train/123_c1s6_9.jpg,123,1,6,9,264,162,1.6296,9166
train,123_c3s2_2.jpg,train/123_c3s2_2.jpg,123,3,2,2,209,151,1.3841,7855
train,123_c3s5_3.jpg,train/123_c3s5_3.jpg,123,3,5,3,202,140,1.4429,8624
train,123_c3s5_8.jpg,train/123_c3s5_8.jpg,123,3,5,8,258,160,1.6125,10338
train,123_c4s1_5.jpg,train/123_c4s1_5.jpg,123,4,1,5,195,145,1.3448,7655
train,123_c4s1_6.jpg,train/123_c4s1_6.jpg,123,4,1,6,241,158,1.5253,10352
train,123_c4s5_1.jpg,train/123_c4s5_1.jpg,123,4,5,1,261,180,1.45,11596
train,123_c6s6_4.jpg,train/123_c6s6_4.jpg,123,6,6,4,201,146,1.3767,8426
train,126_c1s3_4.jpg,train/126_c1s3_4.jpg,126,1,3,4,172,117,1.4701,9515
train,126_c1s3_7.jpg,train/126_c1s3_7.jpg,126,1,3,7,296,294,1.0068,13026
train,126_c1s6_3.jpg,train/126_c1s6_3.jpg,126,1,6,3,204,136,1.5,13191
train,126_c2s2_6.jpg,train/126_c2s2_6.jpg,126,2,2,6,275,284,0.9683,11280
train,126_c3s6_1.jpg,train/126_c3s6_1.jpg,126,3,6,1,272,279,0.9749,11680
train,126_c4s2_5.jpg,train/126_c4s2_5.jpg,126,4,2,5,193,126,1.5317,11107
train,126_c5s5_0.jpg,train/126_c5s5_0.jpg,126,5,5,0,162,96,1.6875,6296
train,126_c6s1_2.jpg,train/126_c6s1_2.jpg,126,6,1,2,191,121,1.5785,10518
train,126_c6s4_8.jpg,train/126_c6s4_8.jpg,126,6,4,8,300,296,1.0135,15453
train,127_c1s4_2.jpg,train/127_c1s4_2.jpg,127,1,4,2,106,53,2.0,1832
train,127_c1s4_6.jpg,train/127_c1s4_6.jpg,127,1,4,6,101,111,0.9099,6520
train,127_c1s6_1.jpg,train/127_c1s6_1.jpg,127,1,6,1,116,52,2.2308,1763
train,127_c2s2_5.jpg,train/127_c2s2_5.jpg,127,2,2,5,100,112,0.8929,6361
train,127_c2s3_3.jpg,train/127_c2s3_3.jpg,127,2,3,3,101,112,0.9018,6791
train,127_c4s1_8.jpg,train/127_c4s1_8.jpg,127,4,1,8,108,116,0.931,7588
train,127_c4s4_4.jpg,train/127_c4s4_4.jpg,127,4,4,4,104,115,0.9043,6387
train,127_c4s6_0.jpg,train/127_c4s6_0.jpg,127,4,6,0,108,50,2.16,1834
train,127_c6s1_7.jpg,train/127_c6s1_7.jpg,127,6,1,7,105,114,0.9211,6743
train,128_c1s4_4.jpg,train/128_c1s4_4.jpg,128,1,4,4,298,294,1.0136,13699
train,128_c3s1_6.jpg,train/128_c3s1_6.jpg,128,3,1,6,251,263,0.9544,9394
train,128_c4s3_3.jpg,train/128_c4s3_3.jpg,128,4,3,3,368,330,1.1152,17025
train,128_c4s4_7.jpg,train/128_c4s4_7.jpg,128,4,4,7,70,195,0.359,2559
train,128_c5s1_1.jpg,train/128_c5s1_1.jpg,128,5,1,1,205,572,0.3584,9695
train,128_c5s5_0.jpg,train/128_c5s5_0.jpg,128,5,5,0,129,215,0.6,4442
train,128_c5s5_5.jpg,train/128_c5s5_5.jpg,128,5,5,5,345,304,1.1349,21360
train,12_c1s3_8.jpg,train/12_c1s3_8.jpg,12,1,3,8,253,216,1.1713,16343
train,12_c2s1_4.jpg,train/12_c2s1_4.jpg,12,2,1,4,127,243,0.5226,5358
train,12_c3s2_6.jpg,train/12_c3s2_6.jpg,12,3,2,6,127,273,0.4652,4875
train,12_c3s6_3.jpg,train/12_c3s6_3.jpg,12,3,6,3,242,239,1.0126,7744
train,12_c3s6_9.jpg,train/12_c3s6_9.jpg,12,3,6,9,300,247,1.2146,22718
train,12_c4s4_2.jpg,train/12_c4s4_2.jpg,12,4,4,2,192,332,0.5783,8017
train,12_c5s1_1.jpg,train/12_c5s1_1.jpg,12,5,1,1,241,291,0.8282,20019
train,12_c5s2_0.jpg,train/12_c5s2_0.jpg,12,5,2,0,163,193,0.8446,5760
train,12_c5s2_5.jpg,train/12_c5s2_5.jpg,12,5,2,5,177,221,0.8009,6476
train,130_c1s3_5.jpg,train/130_c1s3_5.jpg,130,1,3,5,54,103,0.5243,1405
train,130_c2s1_2.jpg,train/130_c2s1_2.jpg,130,2,1,2,111,98,1.1327,2079
train,130_c3s2_1.jpg,train/130_c3s2_1.jpg,130,3,2,1,112,90,1.2444,1997
train,130_c4s1_7.jpg,train/130_c4s1_7.jpg,130,4,1,7,122,85,1.4353,2048
train,130_c4s4_3.jpg,train/130_c4s4_3.jpg,130,4,4,3,114,106,1.0755,2406
train,130_c5s5_4.jpg,train/130_c5s5_4.jpg,130,5,5,4,77,151,0.5099,2104
train,130_c6s3_6.jpg,train/130_c6s3_6.jpg,130,6,3,6,52,102,0.5098,1491
train,131_c1s5_6.jpg,train/131_c1s5_6.jpg,131,1,5,6,139,124,1.121,3436
train,131_c1s6_3.jpg,train/131_c1s6_3.jpg,131,1,6,3,103,148,0.6959,5607
train,131_c2s1_3.jpg,train/131_c2s1_3.jpg,131,2,1,3,263,347,0.7579,51395
train,131_c2s4_1.jpg,train/131_c2s4_1.jpg,131,2,4,1,587,294,1.9966,63560
train,131_c3s2_7.jpg,train/131_c3s2_7.jpg,131,3,2,7,214,203,1.0542,20923
train,131_c3s2_8.jpg,train/131_c3s2_8.jpg,131,3,2,8,345,213,1.6197,14722
train,131_c3s5_0.jpg,train/131_c3s5_0.jpg,131,3,5,0,380,323,1.1765,35418
train,131_c3s5_2.jpg,train/131_c3s5_2.jpg,131,3,5,2,79,243,0.3251,7542
train,131_c3s6_4.jpg,train/131_c3s6_4.jpg,131,3,6,4,163,85,1.9176,4535
train,131_c4s1_4.jpg,train/131_c4s1_4.jpg,131,4,1,4,223,209,1.067,8553
train,131_c4s4_2.jpg,train/131_c4s4_2.jpg,131,4,4,2,276,404,0.6832,57728
train,131_c4s4_5.jpg,train/131_c4s4_5.jpg,131,4,4,5,151,94,1.6064,6121
train,131_c5s3_8.jpg,train/131_c5s3_8.jpg,131,5,3,8,472,273,1.7289,50000
train,131_c5s3_9.jpg,train/131_c5s3_9.jpg,131,5,3,9,252,290,0.869,24638
train,131_c5s4_5.jpg,train/131_c5s4_5.jpg,131,5,4,5,219,156,1.4038,5977
train,131_c6s4_7.jpg,train/131_c6s4_7.jpg,131,6,4,7,195,199,0.9799,5864
train,132_c1s5_6.jpg,train/132_c1s5_6.jpg,132,1,5,6,106,80,1.325,1910
train,132_c2s1_3.jpg,train/132_c2s1_3.jpg,132,2,1,3,222,235,0.9447,26885
train,132_c2s5_6.jpg,train/132_c2s5_6.jpg,132,2,5,6,127,87,1.4598,3438
train,132_c3s2_7.jpg,train/132_c3s2_7.jpg,132,3,2,7,112,77,1.4545,4580
train,132_c4s1_4.jpg,train/132_c4s1_4.jpg,132,4,1,4,123,204,0.6029,5994
train,132_c4s4_2.jpg,train/132_c4s4_2.jpg,132,4,4,2,212,309,0.6861,30079
train,132_c5s3_8.jpg,train/132_c5s3_8.jpg,132,5,3,8,140,81,1.7284,5176
train,132_c5s3_9.jpg,train/132_c5s3_9.jpg,132,5,3,9,269,226,1.1903,7554
train,132_c5s4_5.jpg,train/132_c5s4_5.jpg,132,5,4,5,125,202,0.6188,5743
train,132_c5s6_0.jpg,train/132_c5s6_0.jpg,132,5,6,0,218,373,0.5845,11956
train,132_c6s4_7.jpg,train/132_c6s4_7.jpg,132,6,4,7,130,212,0.6132,4331
train,132_c6s6_1.jpg,train/132_c6s6_1.jpg,132,6,6,1,83,266,0.312,9613
train,133_c1s1_6.jpg,train/133_c1s1_6.jpg,133,1,1,6,121,103,1.1748,3520
train,133_c2s1_7.jpg,train/133_c2s1_7.jpg,133,2,1,7,129,111,1.1622,3354
train,133_c2s1_9.jpg,train/133_c2s1_9.jpg,133,2,1,9,122,104,1.1731,3403
train,133_c3s4_1.jpg,train/133_c3s4_1.jpg,133,3,4,1,133,107,1.243,3371
train,133_c4s2_5.jpg,train/133_c4s2_5.jpg,133,4,2,5,85,76,1.1184,2252
train,133_c4s3_0.jpg,train/133_c4s3_0.jpg,133,4,3,0,80,76,1.0526,2053
train,133_c4s4_3.jpg,train/133_c4s4_3.jpg,133,4,4,3,160,144,1.1111,4681
train,133_c4s6_2.jpg,train/133_c4s6_2.jpg,133,4,6,2,163,143,1.1399,4731
train,133_c5s4_8.jpg,train/133_c5s4_8.jpg,133,5,4,8,123,105,1.1714,3636
train,134_c1s6_7.jpg,train/134_c1s6_7.jpg,134,1,6,7,159,185,0.8595,5864
train,134_c2s5_8.jpg,train/134_c2s5_8.jpg,134,2,5,8,153,223,0.6861,9020
train,134_c4s4_2.jpg,train/134_c4s4_2.jpg,134,4,4,2,251,234,1.0726,13377
train,134_c5s2_5.jpg,train/134_c5s2_5.jpg,134,5,2,5,173,190,0.9105,20277
train,134_c5s5_1.jpg,train/134_c5s5_1.jpg,134,5,5,1,259,288,0.8993,16440
train,134_c5s5_3.jpg,train/134_c5s5_3.jpg,134,5,5,3,164,197,0.8325,9441
train,134_c5s5_4.jpg,train/134_c5s5_4.jpg,134,5,5,4,152,184,0.8261,7046
train,134_c6s2_9.jpg,train/134_c6s2_9.jpg,134,6,2,9,264,308,0.8571,16320
train,134_c6s5_6.jpg,train/134_c6s5_6.jpg,134,6,5,6,147,210,0.7,7345
train,135_c1s1_4.jpg,train/135_c1s1_4.jpg,135,1,1,4,438,637,0.6876,18899
train,135_c2s3_2.jpg,train/135_c2s3_2.jpg,135,2,3,2,106,237,0.4473,4774
train,135_c3s5_3.jpg,train/135_c3s5_3.jpg,135,3,5,3,229,500,0.458,15494
train,135_c4s2_6.jpg,train/135_c4s2_6.jpg,135,4,2,6,396,358,1.1061,18874
train,135_c4s6_8.jpg,train/135_c4s6_8.jpg,135,4,6,8,535,292,1.8322,39070
train,135_c5s1_0.jpg,train/135_c5s1_0.jpg,135,5,1,0,92,144,0.6389,3605
train,135_c5s5_5.jpg,train/135_c5s5_5.jpg,135,5,5,5,525,523,1.0038,40684
train,135_c6s1_1.jpg,train/135_c6s1_1.jpg,135,6,1,1,501,316,1.5854,54066
train,135_c6s4_7.jpg,train/135_c6s4_7.jpg,135,6,4,7,294,223,1.3184,11282
train,136_c1s2_6.jpg,train/136_c1s2_6.jpg,136,1,2,6,106,107,0.9907,6371
train,136_c1s4_8.jpg,train/136_c1s4_8.jpg,136,1,4,8,120,118,1.0169,5753
train,136_c1s6_2.jpg,train/136_c1s6_2.jpg,136,1,6,2,259,168,1.5417,15646
train,136_c2s4_7.jpg,train/136_c2s4_7.jpg,136,2,4,7,95,122,0.7787,5081
train,136_c2s5_0.jpg,train/136_c2s5_0.jpg,136,2,5,0,114,88,1.2955,4664
train,136_c4s1_4.jpg,train/136_c4s1_4.jpg,136,4,1,4,350,211,1.6588,33620
train,136_c5s2_9.jpg,train/136_c5s2_9.jpg,136,5,2,9,141,136,1.0368,9063
train,136_c6s3_5.jpg,train/136_c6s3_5.jpg,136,6,3,5,303,214,1.4159,30436
train,136_c6s4_3.jpg,train/136_c6s4_3.jpg,136,6,4,3,267,263,1.0152,26393
train,138_c1s5_0.jpg,train/138_c1s5_0.jpg,138,1,5,0,152,282,0.539,19539
train,138_c3s6_8.jpg,train/138_c3s6_8.jpg,138,3,6,8,126,275,0.4582,17790
train,138_c4s1_10.jpg,train/138_c4s1_10.jpg,138,4,1,10,148,314,0.4713,17300
train,138_c4s3_2.jpg,train/138_c4s3_2.jpg,138,4,3,2,139,277,0.5018,14431
train,138_c5s6_3.jpg,train/138_c5s6_3.jpg,138,5,6,3,154,300,0.5133,23284
train,138_c6s3_7.jpg,train/138_c6s3_7.jpg,138,6,3,7,138,318,0.434,22835
train,138_c6s3_9.jpg,train/138_c6s3_9.jpg,138,6,3,9,159,270,0.5889,20543
train,139_c1s6_1.jpg,train/139_c1s6_1.jpg,139,1,6,1,166,141,1.1773,5851
train,139_c1s6_5.jpg,train/139_c1s6_5.jpg,139,1,6,5,101,115,0.8783,6820
train,139_c3s2_2.jpg,train/139_c3s2_2.jpg,139,3,2,2,160,171,0.9357,5889
train,139_c3s5_8.jpg,train/139_c3s5_8.jpg,139,3,5,8,74,113,0.6549,5294
train,139_c4s1_0.jpg,train/139_c4s1_0.jpg,139,4,1,0,116,91,1.2747,3546
train,139_c4s4_6.jpg,train/139_c4s4_6.jpg,139,4,4,6,61,109,0.5596,2377
train,139_c4s4_7.jpg,train/139_c4s4_7.jpg,139,4,4,7,83,77,1.0779,2728
train,139_c4s5_6.jpg,train/139_c4s5_6.jpg,139,4,5,6,85,71,1.1972,2613
train,139_c5s1_3.jpg,train/139_c5s1_3.jpg,139,5,1,3,106,81,1.3086,2997
train,139_c5s1_4.jpg,train/139_c5s1_4.jpg,139,5,1,4,140,98,1.4286,4247
train,139_c5s3_9.jpg,train/139_c5s3_9.jpg,139,5,3,9,211,137,1.5401,7257
train,140_c2s4_3.jpg,train/140_c2s4_3.jpg,140,2,4,3,159,117,1.359,2674
train,140_c2s4_5.jpg,train/140_c2s4_5.jpg,140,2,4,5,134,88,1.5227,1849
train,140_c2s5_9.jpg,train/140_c2s5_9.jpg,140,2,5,9,144,129,1.1163,2551
train,140_c3s4_0.jpg,train/140_c3s4_0.jpg,140,3,4,0,160,120,1.3333,2865
train,140_c3s5_0.jpg,train/140_c3s5_0.jpg,140,3,5,0,174,175,0.9943,5153
train,140_c4s4_7.jpg,train/140_c4s4_7.jpg,140,4,4,7,154,123,1.252,2819
train,140_c4s6_6.jpg,train/140_c4s6_6.jpg,140,4,6,6,173,126,1.373,2721
train,140_c6s1_10.jpg,train/140_c6s1_10.jpg,140,6,1,10,163,132,1.2348,3203
train,140_c6s2_8.jpg,train/140_c6s2_8.jpg,140,6,2,8,153,123,1.2439,2708
train,141_c1s1_11.jpg,train/141_c1s1_11.jpg,141,1,1,11,134,225,0.5956,10010
train,141_c2s2_3.jpg,train/141_c2s2_3.jpg,141,2,2,3,87,123,0.7073,2306
train,141_c2s5_9.jpg,train/141_c2s5_9.jpg,141,2,5,9,94,152,0.6184,2615
train,141_c3s3_1.jpg,train/141_c3s3_1.jpg,141,3,3,1,137,213,0.6432,10446
train,141_c3s3_10.jpg,train/141_c3s3_10.jpg,141,3,3,10,178,157,1.1338,4344
train,141_c4s1_12.jpg,train/141_c4s1_12.jpg,141,4,1,12,146,233,0.6266,13732
train,141_c4s3_8.jpg,train/141_c4s3_8.jpg,141,4,3,8,75,153,0.4902,2280
train,142_c1s4_0.jpg,train/142_c1s4_0.jpg,142,1,4,0,178,199,0.8945,7267
train,142_c2s5_12.jpg,train/142_c2s5_12.jpg,142,2,5,12,104,244,0.4262,5582
train,142_c5s3_2.jpg,train/142_c5s3_2.jpg,142,5,3,2,117,242,0.4835,6229
train,142_c6s2_7.jpg,train/142_c6s2_7.jpg,142,6,2,7,179,212,0.8443,8027
train,142_c6s4_3.jpg,train/142_c6s4_3.jpg,142,6,4,3,123,242,0.5083,6513
train,143_c1s5_1.jpg,train/143_c1s5_1.jpg,143,1,5,1,174,231,0.7532,14050
train,143_c2s1_0.jpg,train/143_c2s1_0.jpg,143,2,1,0,154,151,1.0199,11160
train,143_c2s2_6.jpg,train/143_c2s2_6.jpg,143,2,2,6,106,127,0.8346,2568
train,143_c4s1_3.jpg,train/143_c4s1_3.jpg,143,4,1,3,174,144,1.2083,4753
train,143_c4s2_4.jpg,train/143_c4s2_4.jpg,143,4,2,4,92,158,0.5823,3303
train,143_c4s5_5.jpg,train/143_c4s5_5.jpg,143,4,5,5,176,124,1.4194,3373
train,144_c1s1_2.jpg,train/144_c1s1_2.jpg,144,1,1,2,113,142,0.7958,10105
